"species","order_mean","order_sd","order_n","specimen.no._mean","specimen.no._sd","specimen.no._n","fL_mean","fL_sd","fL_n","fPW_mean","fPW_sd","fPW_n","fDW_mean","fDW_sd","fDW_n","fCr.Ca_mean","fCr.Ca_sd","fCr.Ca_n","fM.L_mean","fM.L_sd","fM.L_n","tbL_mean","tbL_sd","tbL_n","tbPW_mean","tbPW_sd","tbPW_n","tbDW_mean","tbDW_sd","tbDW_n","tbCr.Ca_mean","tbCr.Ca_sd","tbCr.Ca_n","tbM.L_mean","tbM.L_sd","tbM.L_n","tmtL_mean","tmtL_sd","tmtL_n","tmtD.P_mean","tmtD.P_sd","tmtD.P_n","tmtM.L_mean","tmtM.L_sd","tmtM.L_n","fCIRC_mean","fCIRC_sd","fCIRC_n","tbCIRC_mean","tbCIRC_sd","tbCIRC_n","fCSA_mean","fCSA_sd","fCSA_n","tbCSA_mean","tbCSA_sd","tbCSA_n","hlr_mean","hlr_sd","hlr_n","hls_mean","hls_sd","hls_n","hlp_mean","hlp_sd","hlp_n","hcr_mean","hcr_sd","hcr_n","hcs_mean","hcs_sd","hcs_n","hcp_mean","hcp_sd","hcp_n","hdr_mean","hdr_sd","hdr_n","hds_mean","hds_sd","hds_n","hdp_mean","hdp_sd","hdp_n","klf_mean","klf_sd","klf_n","kls_mean","kls_sd","kls_n","kle_mean","kle_sd","kle_n","kcf_mean","kcf_sd","kcf_n","kcs_mean","kcs_sd","kcs_n","kce_mean","kce_sd","kce_n","ilf_mean","ilf_sd","ilf_n","ils_mean","ils_sd","ils_n","ile_mean","ile_sd","ile_n","icf_mean","icf_sd","icf_n","ics_mean","ics_sd","ics_n","ice_mean","ice_sd","ice_n"
"Aepyornis hildebrandti",NA,NA,1,NA,NA,1,258.4,NA,1,135.04,NA,1,127.04,NA,1,54.05,NA,1,63.71,NA,1,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,310.24,NA,1,25.4,NA,1,54.71,NA,1,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
"Aepyornis maximus",NA,NA,1,NA,NA,1,338.89,NA,1,183.22,NA,1,185.78,NA,1,67.91,NA,1,89.5,NA,1,614.2,NA,1,152.7,NA,1,117.99,NA,1,46.63,NA,1,46.4,NA,1,399.75,NA,1,32.51,NA,1,74.08,NA,1,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
"Alectura lathami",NA,NA,7,NA,NA,7,89.1714285714286,3.55139141075452,7,20.7714285714286,1.20928944111034,7,17.8857142857143,0.893361762163144,7,9.34285714285714,0.237045304088641,7,9.01428571428571,0.177281052085584,7,134.842857142857,6.4111509998484,7,16.4428571428571,1.14725344897737,7,12.3428571428571,0.579819347892493,7,6.01428571428571,0.397611918955202,7,7.54285714285714,0.359894164336975,7,93.2714285714286,5.83715521057826,7,4.22857142857143,0.649908418456749,7,6.55714285714286,0.58554004376912,7,29.71,1.19981248534927,5,22.616,1.22875139877845,5,64.34,7.33090376420261,5,36.06,3.89542680588405,5,77.7,NA,1,36.92,NA,1,20.74,NA,1,107.11,NA,1,116.37,NA,1,120.12,NA,1,29.77,NA,1,17.9,NA,1,15.48,NA,1,35.38,NA,1,91.23,NA,1,128.85,NA,1,128.75,NA,1,193.92,NA,1,137.34,NA,1,18.64,NA,1,138.98,NA,1,168.69,NA,1,19.57,NA,1,157.46,NA,1,171.28,NA,1
"Anhima cornuta",NA,NA,1,NA,NA,1,91.3,NA,1,23.1,NA,1,21.6,NA,1,10,NA,1,10.6,NA,1,176,NA,1,18.8,NA,1,16.4,NA,1,8.3,NA,1,9.2,NA,1,115.6,NA,1,7,NA,1,10.1,NA,1,34.22,NA,1,27.3,NA,1,85.01,NA,1,55.95,NA,1,72.74,NA,1,38.75,NA,1,23.79,NA,1,106.76,NA,1,116.62,NA,1,121.42,NA,1,25.75,NA,1,15.74,NA,1,14.96,NA,1,38.03,NA,1,106.97,NA,1,144.66,NA,1,132.01,NA,1,147.11,NA,1,151.92,NA,1,7.73,NA,1,165.72,NA,1,172.46,NA,1,5.19,NA,1,172.33,NA,1,171.69,NA,1
"Anseranas semipalmata",NA,NA,11,NA,NA,11,84.3636363636364,4.54054462091779,11,18.1545454545455,1.38734540498294,11,16.0909090909091,1.056839198227,11,7.54545454545455,0.680240599146561,11,6.85454545454545,0.53733348372056,11,141.754545454545,8.58025216836471,11,14.2818181818182,0.904232472120065,11,12.4454545454545,0.735341602744787,11,6.08181818181818,0.567129935408424,11,6.99090909090909,0.467877217770956,11,96.0454545454545,6.82236962299224,11,5.4,0.705691150575094,11,6.95454545454546,0.390803368367358,11,23.86,2.17710817370199,4,21.785,1.58125477601387,4,40.01,5.53824882070136,4,31.39,4.67222288281142,4,55.36,NA,1,29.75,NA,1,21.3,NA,1,122.74,NA,1,137.74,NA,1,153.02,NA,1,37.06,NA,1,28.64,NA,1,26.43,NA,1,45,NA,1,106,NA,1,121.72,NA,1,111.17,NA,1,128.16,NA,1,129.32,NA,1,9.62,NA,1,157.25,NA,1,169.62,NA,1,3.34,NA,1,177.58,NA,1,178.81,NA,1
"Casuarius casuarius",NA,NA,3,NA,NA,3,236.333333333333,5.5075705472861,3,54.3333333333333,3.27465010853577,3,56.1666666666667,4.16693332480055,3,30.7666666666667,2.65015722804013,3,28.3333333333333,1.0785793124909,3,372.333333333333,10.2143689640297,3,55.9333333333333,2.3629078131263,3,41.7333333333333,2.57940561628708,3,25.5333333333333,2.25018517756502,3,27.9333333333333,2.35017729827631,3,299,10,3,23.1,1.05830052442584,3,26.3333333333333,2.05507501890645,3,93.4833333333333,2.87614904574386,3,85.2066666666667,5.63775073352249,3,572.686666666667,41.2920529077126,3,531.286666666667,60.227087206118,3,46.87,NA,1,33.34,NA,1,20.57,NA,1,124.95,NA,1,119.09,NA,1,120.33,NA,1,33.55,NA,1,24.02,NA,1,22.22,NA,1,46.09,NA,1,113.87,NA,1,127.55,NA,1,121.25,NA,1,124.29,NA,1,125.05,NA,1,26.99,NA,1,164.42,NA,1,174.04,NA,1,9.03,NA,1,174.51,NA,1,179.36,NA,1
"Cereopsis novaehollandiae",NA,NA,26,NA,NA,26,92.0807692307692,5.8789808117237,26,24.8461538461538,1.7799394976753,26,23.1115384615385,1.68198143225826,26,10.2346153846154,1.27966942846731,26,10.1423076923077,0.816907866003542,26,168.392307692308,9.79967032412512,26,19.596,1.69003944727137,25,17.3153846153846,1.22366410675228,26,8.19230769230769,0.764158662542316,26,9.77692307692308,0.733379951898164,26,110.761538461538,6.27662819820177,26,7.76153846153846,0.869977895386738,26,8.28076923076923,0.821227973595265,26,32.01,2.89859736194365,4,27.1025,0.993793238053067,4,62.3275,8.48140858977249,4,56.52,6.17958466781277,4,73.78,NA,1,43,NA,1,24.88,NA,1,110.01,NA,1,116.57,NA,1,116.8,NA,1,21.98,NA,1,20.83,NA,1,17.22,NA,1,44.75,NA,1,110.63,NA,1,136.36,NA,1,133.96,NA,1,140.19,NA,1,142.42,NA,1,9.81,NA,1,166.9,NA,1,174.62,NA,1,4.51,NA,1,178.41,NA,1,177.88,NA,1
"Dinornis novaezealandiae",NA,NA,4,NA,NA,4,326,62.2173609212091,3,107.666666666667,27.5015151097777,3,124.666666666667,30.3699412797149,3,NA,NA,0,46.5,9.3407708461347,3,621.5,173.594354746921,4,141.5,33.9950976857939,4,83.5,20.0416233540766,4,NA,NA,0,44.375,10.8579847731213,4,361.666666666667,99.3243843843662,3,NA,NA,0,41.9333333333333,9.54794916897515,3,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
"Dinornis robustus",NA,NA,29,NA,NA,29,335.206896551724,47.9250749387184,29,117.710344827586,18.8719812122852,29,135.093103448276,21.2805231379454,29,NA,NA,0,51.5965517241379,7.76427177887003,29,688.206896551724,124.380860755051,29,152.702857142857,37.3860650269731,28,93.7206896551724,15.9549450308035,29,NA,NA,0,50.6172413793103,9.28766728230496,29,368,77.229336203093,28,NA,NA,0,46.4357142857143,8.27661651596719,28,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
"Dromaius novaehollandiae",NA,NA,12,NA,NA,12,231.4,8.64355893779357,10,59.15,3.44294770347865,10,56.73,2.54167486337476,10,30.36,2.89950187292768,10,29,1.95391345196705,10,408.909090909091,18.3436885355947,11,53.5454545454545,4.38300436604018,11,42.7272727272727,3.13307864857903,11,21.5363636363636,2.35383632705111,11,25.0454545454545,1.79185023724844,11,384.090909090909,18.5496875739434,11,19.7,1.80776104615627,11,18.1090909090909,1.24133359372454,11,92.378,7.93253553411518,5,72.53,5.18754759014315,5,608.152,132.399000449399,5,405.074,56.7880192470208,5,59.56,NA,1,44.18,NA,1,24.29,NA,1,119.35,NA,1,126.31,NA,1,136.35,NA,1,46.21,NA,1,35.79,NA,1,27.92,NA,1,57.83,NA,1,119.83,NA,1,135.71,NA,1,115.29,NA,1,128.1,NA,1,112.86,NA,1,31.25,NA,1,162.91,NA,1,169.81,NA,1,14.07,NA,1,176.8,NA,1,176.3,NA,1
"Dromornis stirtoni",NA,NA,3,NA,NA,3,371.2,21.5786931949087,3,201.666666666667,71.0818073302398,3,198,10.5,3,NA,NA,0,NA,NA,0,798.833333333333,73.3933466557653,3,240.166666666667,15.5866395779633,3,153.866666666667,1.02632028788938,3,NA,NA,0,NA,NA,0,412,NA,1,NA,NA,0,NA,NA,0,247.566666666667,14.9720851364576,3,205.3,6.6460514593253,3,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
"Genyornis newtoni",NA,NA,6,NA,NA,6,310.6,28.3866165648532,5,157.92,12.4471683526817,5,145.3,14.325501736414,5,45.5,7.82112523873643,5,75.34,7.09034554870212,5,532.5,11.0302614051829,4,120,4.94974746830583,2,80.0666666666667,4.28524600616269,3,40.525,4.0606854922127,4,49.975,2.22017266595791,4,350.333333333333,3.78593889720018,3,36.9333333333333,10.2001633973841,3,40.6,1.99749843554382,3,208.6075,16.7399350357162,4,144.6225,6.93626400401062,4,2548.0525,333.297025826814,4,1616.565,163.177970837569,4,59.58,NA,1,44.34,NA,1,37.71,NA,1,145.4,NA,1,149.08,NA,1,154.34,NA,1,43,NA,1,38.64,NA,1,37,NA,1,64.56,NA,1,106.1,NA,1,120.71,NA,1,109.08,NA,1,114.07,NA,1,113.9,NA,1,41.52,NA,1,160.29,NA,1,166.01,NA,1,16.28,NA,1,174.52,NA,1,176.46,NA,1
"Illbandornis lawsoni",NA,NA,1,NA,NA,1,266.5,NA,1,105.5,NA,1,114,NA,1,NA,NA,0,44.5,NA,1,505,NA,1,108,NA,1,70.8,NA,1,NA,NA,0,38.2,NA,1,421.8,NA,1,NA,NA,0,28.4,NA,1,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
"Illbandornis woodburnei",NA,NA,1,NA,NA,1,299.2,NA,1,114.2,NA,1,120,NA,1,NA,NA,0,53,NA,1,508.6,NA,1,106,NA,1,78.2,NA,1,NA,NA,0,39.4,NA,1,349.9,NA,1,NA,NA,0,34.1,NA,1,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
"Leipoa ocellata",NA,NA,11,NA,NA,11,82.2181818181818,2.48347264201488,11,20.4363636363636,0.763246653805606,11,17.1636363636364,0.773657194463707,11,8.68181818181818,0.536317409410103,11,8.6,0.551361950083609,11,122.811111111111,4.62370101878475,9,16.6555555555556,0.944869185537225,9,12.4333333333333,0.574456264653803,9,6.12222222222222,0.411636301174282,9,7.07777777777778,0.405517502019881,9,75.35,3.04384625104488,10,4.58,0.30840089349921,10,6.96,0.353396220818629,10,28.102,1.60102154888683,5,21.62,0.628331122896201,5,58.66,11.4949380163618,5,32.02,5.00120485483248,5,54.49,NA,1,38.97,NA,1,20.06,NA,1,106.99,NA,1,113.87,NA,1,127.03,NA,1,22.02,NA,1,17.25,NA,1,14.61,NA,1,64.4,NA,1,105.84,NA,1,149.4,NA,1,139.38,NA,1,155.36,NA,1,156.31,NA,1,13.06,NA,1,137.38,NA,1,164.1,NA,1,0.72,NA,1,173.99,NA,1,177.23,NA,1
"Mullerornis modestus",NA,NA,1,NA,NA,1,205,NA,1,93.25,NA,1,95.71,NA,1,33.23,NA,1,41.35,NA,1,475.2,NA,1,95.23,NA,1,76.18,NA,1,22.99,NA,1,29.99,NA,1,306.85,NA,1,17.84,NA,1,26.75,NA,1,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
"Pachyornis elephantopus",NA,NA,11,NA,NA,11,305.181818181818,9.35754435541913,11,112.090909090909,7.91775909528126,11,139.636363636364,6.2812853345908,11,NA,NA,0,48.3636363636364,2.11057941204435,11,546.454545454545,22.8620368137383,11,159,8.71779788708135,11,95.5454545454545,4.29799107406324,11,NA,NA,0,51,4.33589667773576,11,221.363636363636,9.24416277737175,11,NA,NA,0,57.9090909090909,4.90824908607021,11,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
"Struthio camelus",NA,NA,6,NA,NA,6,305.666666666667,7.99166232186187,6,99.1666666666667,4.49874056449876,6,88.7,4.00749298190278,6,42.05,5.6906062945876,6,45.1,6.27502988040694,6,504.666666666667,20.9443707632067,6,73.3666666666667,25.4456021085504,6,63.3666666666667,3.8500216449608,6,30.45,1.54757875405422,6,32.5166666666667,3.06947335330781,6,464.166666666667,18.0268318532866,6,23.7,3.83353622651463,6,28.0666666666667,2.36952878578562,6,143.5725,5.60932185443718,4,100.995,1.72813001054126,4,1475.195,133.589252187442,4,793.05525,62.1040819666201,4,46.66,NA,1,35.57,NA,1,25.81,NA,1,117.04,NA,1,126.8,NA,1,127.69,NA,1,35.1,NA,1,29.52,NA,1,27.44,NA,1,43.53,NA,1,109.6,NA,1,130.29,NA,1,169.31,NA,1,140.35,NA,1,138.02,NA,1,24.74,NA,1,158.1,NA,1,170.5,NA,1,1.23,NA,1,179.93,NA,1,178.47,NA,1
