order,species,genus,specimen no.,fL,fPW,fDW,fCr-Ca,fM-L,tbL,tbPW,tbDW,tbCr-Ca,tbM-L,tmtL,tmtD-P,tmtM-L
Aepyornithiformes,Aepyornis,hildebrandti,UIO 122.872,267,135.89,113.08,55.17,65.72,,,,,,,,
Aepyornithiformes,Aepyornis,hildebrandti,MNHN 1906-16-66,255,149.68,131.18,54.16,63.84,,,,,,,,
Aepyornithiformes,Aepyornis,hildebrandti,MNHN Unnumbered,258,148.32,140.26,57.34,68.6,,,,,,,,
Aepyornithiformes,Aepyornis,maximus,MNHN MAD 364,325,198,184,70.46,88.36,,,,,,,,
Aepyornithiformes,Mullerornis,modestus,MNHN MAD 6648,208,91.4,91.6,32.12,40.76,,,,,,,,
Aepyornithiformes,Mullerornis,modestus,MNHN MAD 441,207,98.38,96.4,28.44,41.52,,,,,,,,
Aepyornithiformes,Aepyornis,hildebrandti,MNHN MAD 373,282,129.8,123.06,53.38,56.56,,,,,,,,
Aepyornithiformes,Aepyornis,maximus,MNHN MAD 369,350,199,200,73.1,94.62,,,,,,,,
Aepyornithiformes,Aepyornis,hildebrandti,MNHN MAD 6754,262,128.1,129,54.58,61.16,,,,,,,,
Aepyornithiformes,Aepyornis,hildebrandti,MNHN 1906-16-71,262,134.26,127.5,57.16,66.22,,,,,,,,
Aepyornithiformes,Aepyornis,hildebrandti,MNHN 1906-16-65,246,135.78,130.72,53.06,60.6,,,,,,,,
Aepyornithiformes,Mullerornis,modestus,MNHN JH 32,208,98.12,99.98,32.52,41.68,,,,,,,,
Aepyornithiformes,Aepyornis,hildebrandti,MNHN JH 58,268,151.56,138.86,55.14,64.62,,,,,,,,
Aepyornithiformes,Aepyornis,hildebrandti,MNHN JH 59,267,138.68,131.8,57.04,68.92,,,,,,,,
Aepyornithiformes,Mullerornis,modestus,MNHN JH 61,196,87.18,92.02,31.42,36.8,,,,,,,,
Aepyornithiformes,Aepyornis,maximus,MNHN Unnumbered,348,177,203,71.92,93.18,,,,,,,,
Aepyornithiformes,Aepyornis,maximus,MNHN Unnumbered,375,183,207,74.26,99.12,,,,,,,,
Aepyornithiformes,Mullerornis,modestus,MNHN MAD 6773,207,98,99.52,35.54,42.56,,,,,,,,
Aepyornithiformes,Aepyornis,hildebrandti,MNHN Unnumbered,268,138,134.72,55.1,66.08,,,,,,,,
Aepyornithiformes,Aepyornis,hildebrandti,NHMW  2014/0238/039,269,126.42,126.48,57.18,65.38,,,,,,,,
Aepyornithiformes,Aepyornis,hildebrandti,NHMW 2014/0238/041,274,129.02,130.88,57.5,64.68,,,,,,,,
Aepyornithiformes,Aepyornis,hildebrandti,NHMW 2014/0238/045,244,121.36,117.68,48.88,62.68,,,,,,,,
Aepyornithiformes,Aepyornis,maximus,NHM A2142,327,187,187,70.96,95.12,,,,,,,,
Aepyornithiformes,Aepyornis,hildebrandti,NHM ii.26.1254,244,130.86,122.82,45.88,55.98,,,,,,,,
Aepyornithiformes,Aepyornis,hildebrandti,NHM Unnumbered,247,133.92,87.3,49.58,56.2,,,,,,,,
Aepyornithiformes,Aepyornis,hildebrandti,NHM A696,250,148.96,131,57.54,67.5,,,,,,,,
Aepyornithiformes,Aepyornis,maximus,NHM A2141,340,201,191,65.64,89.4,,,,,,,,
Aepyornithiformes,Aepyornis,hildebrandti,NHM A465 ,245,125.26,124.9,50.44,63.64,,,,,,,,
Aepyornithiformes,Aepyornis,maximus,CVB Unnumbered,328,202,182,71.2,95.36,,,,,,,,
Aepyornithiformes,Mullerornis,modestus,UA 07AEP02,206,90.18,98.74,37.56,44.14,,,,,,,,
Aepyornithiformes,Mullerornis,modestus,UA Unnumbered,203,89.46,91.72,35.04,42,,,,,,,,
Aepyornithiformes,Aepyornis,maximus,ZIUU A49b,350,151,151,62.36,73.5,,,,,,,,
Aepyornithiformes,Aepyornis,hildebrandti,ZIUU A15,244,131.33,131.92,57.42,66.24,,,,,,,,
Aepyornithiformes,Aepyornis,hildebrandti,ZIUU A49f,252,132.36,135.52,55.86,66.06,,,,,,,,
Aepyornithiformes,Aepyornis,hildebrandti,NHMW 2014/0238/040,264,131.24,132.06,48.6,63.44,,,,,,,,
Aepyornithiformes,Aepyornis,maximus,MNHN 1910-12-61,307,151,167,51.26,76.82,,,,,,,,
Aepyornithiformes,Aepyornis,maximus,NHM A673,,,,,,576,113,109.7,34.3,51.1,,,
Aepyornithiformes,Aepyornis,maximus,UIO A31835,,,,,,557,103.39,96.96,50.49,33.2,,,
Aepyornithiformes,Mullerornis,modestus,UIO 122.867,,,,,,459,96.89,77.03,46.13,33.18,,,
Aepyornithiformes,Aepyornis,maximus,UIO A31836,,,,,,547,89.32,93.66,48.43,32.19,,,
Aepyornithiformes,Aepyornis,sp.,MNHN 1906-16-77,,,,,,560,113.8,103.68,48.16,30.44,,,
Aepyornithiformes,Aepyornis,sp.,MNHN 1906-16,,,,,,544,93.4,105.4,46.26,28.2,,,
Aepyornithiformes,Aepyornis,sp.,MNHN 1906-16-82,,,,,,572,100.54,106.24,49.2,32.2,,,
Aepyornithiformes,Aepyornis,maximus,MNHN 1906-16 2,,,,,,565,152,113.76,55.6,31.04,,,
Aepyornithiformes,Aepyornis,maximus,NHM A2143,,,,,,720,153,155,45.3,65.6,,,
Aepyornithiformes,Aepyornis,maximus,NHM Unnumbered,,,,,,562,139.38,104.3,31.82,49.8,,,
Aepyornithiformes,Mullerornis,modestus,NHM A464,,,,,,533,88.44,95.64,43.4,28.6,,,
Aepyornithiformes,Aepyornis,maximus,NHM A506,,,,,,589,153,110.56,31.14,51.44,,,
Aepyornithiformes,Aepyornis,maximus,NHM A4183b,,,,,,649,191,132.4,41.56,56.16,,,
Aepyornithiformes,Aepyornis,maximus,NHM A462,,,,,,598,186,114.16,37.64,54.22,,,
Aepyornithiformes,Aepyornis,maximus,NHM A2144,,,,,,678,191,140.62,45.32,60.58,,,
Aepyornithiformes,Aepyornis,maximus,NHM A438,,,,,,814,230,67,73.52,56.62,,,
Aepyornithiformes,Aepyornis,sp.,NHM A673,,,,,,575,97.6,107.14,50.92,31.92,,,
Aepyornithiformes,Mullerornis,modestus,MFN MB.AV.70,,,,,,473,93.92,90.1,39.32,26.76,,,
Aepyornithiformes,Aepyornis,maximus,CVB Unnumbered,,,,,,614,196,129,60.48,39.76,,,
Aepyornithiformes,Aepyornis,maximus,UA 08AEP10,,,,,,549,148.8,112.98,33.64,50.56,,,
Aepyornithiformes,Mullerornis,modestus,UA 08AEP14,,,,,,477,101.86,67.48,24.76,34.78,,,
Aepyornithiformes,Mullerornis,modestus,UA 08AEP15,,,,,,483,99.46,70.66,26.54,36.54,,,
Aepyornithiformes,Mullerornis,modestus,UA 08AEP18,,,,,,463,102.8,67.52,36.36,26.4,,,
Aepyornithiformes,Aepyornis,maximus,UA 08AEP09,,,,,,557,161,119.6,52.6,38.3,,,
Aepyornithiformes,Aepyornis,maximus,UA 08AEP11,,,,,,578,166,122.24,57,35.08,,,
Aepyornithiformes,Aepyornis,maximus,UA 08AEP06,,,,,,646,138.3,142.04,56.8,39.22,,,
Aepyornithiformes,Mullerornis,modestus,UA 08AEP16,,,,,,483,116.92,88.36,42.42,26.48,,,
Aepyornithiformes,Aepyornis,maximus,UA Unnumbered,,,,,,618,119,131.5,58.44,39.92,,,
Aepyornithiformes,Aepyornis,maximus,USNM 3016,,,,,,565,169,110..42,27.68,50.54,,,
Aepyornithiformes,Aepyornis,sp.,ZIUU A12,,,,,,571,153,111.2,50.7,29.3,,,
Aepyornithiformes,Aepyornis,sp.,ZIUU A49C,,,,,,581,109.1,106.62,48.62,28.36,,,
Aepyornithiformes,Aepyornis,sp.,ZIUU 40,,,,,,523,82.74,101.14,49.8,26.56,,,
Aepyornithiformes,Aepyornis,sp.,ZIUU 19,,,,,,570,97.06,102.54,50.36,30.1,,,
Aepyornithiformes,Aepyornis,sp.,ZIUU A13,,,,,,564,99.78,104.66,48.68,30.02,,,
Aepyornithiformes,Aepyornis,sp.,ZIUU 12,,,,,,578,101.92,107.04,53,31.08,,,
Aepyornithiformes,Aepyornis,maximus,ZIUU 14,,,,,,578,105.64,98.2,50.7,27.68,,,
Aepyornithiformes,Aepyornis,sp.,ZIUU A32,,,,,,577,105.56,108.76,50.36,30.14,,,
Aepyornithiformes,Aepyornis,sp.,ZIUU A31,,,,,,553,107.32,108.18,52.36,30.74,,,
Aepyornithiformes,Mullerornis,modestus,OUMNH 4952,,,,,,478,84.9,72.9,25.4,34.9,,,
Aepyornithiformes,Aepyornis,maximus,OUMNH 4951,,,,,,724,149.1,148.1,40.2,64.9,,,
Aepyornithiformes,Mullerornis,modestus,NHM A676,,,,,,435,65,61,20.5,28.2,,,
Aepyornithiformes,Mullerornis,modestus,UA Unnumbered,,,,,,468,102.1,71.14,35.1,24.1,,,
Aepyornithiformes,Aepyornis,maximus,NHM A2148,,,,,,,,,,,385,28.8,69.2
Aepyornithiformes,Aepyornis,hildebrandti,UIO 122.861,,,,,,,,,,,308,25.35,56.52
Aepyornithiformes,Aepyornis,maximus,MNHN 1906-16-65,,,,,,,,,,,372,31.84,64.78
Aepyornithiformes,Mullerornis,modestus,MNHN Unnumbered,,,,,,,,,,,324,18.2,29.6
Aepyornithiformes,Mullerornis,modestus,MNHN Unnumbered,,,,,,,,,,,323,16.86,28.5
Aepyornithiformes,Aepyornis,hildebrandti,MNHN Unnumbered,,,,,,,,,,,344,23.88,56.62
Aepyornithiformes,Aepyornis,hildebrandti,MNHN Unnumbered,,,,,,,,,,,325,26.1,57.24
Aepyornithiformes,Aepyornis,maximus,"MNHN 1908-5, 51",,,,,,,,,,,426,33.8,78.72
Aepyornithiformes,Mullerornis,modestus,MNHN MAD 6771,,,,,,,,,,,322,15.92,27.82
Aepyornithiformes,Mullerornis,modestus,MNHN MAD 6660,,,,,,,,,,,315,19.6,28.28
Aepyornithiformes,Mullerornis,modestus,MNHN MAD 6662,,,,,,,,,,,303,17.62,30.62
Aepyornithiformes,Mullerornis,modestus,MNHN MAD 6658,,,,,,,,,,,297,18.14,30.52
Aepyornithiformes,Aepyornis,maximus,MNHN MAD 387,,,,,,,,,,,364,27.04,66.62
Aepyornithiformes,Aepyornis,maximus,MNHN MAD 385,,,,,,,,,,,379,28.74,63.3
Aepyornithiformes,Aepyornis,hildebrandti,MNHN MAD 6736,,,,,,,,,,,346,29.42,61.18
Aepyornithiformes,Aepyornis,maximus,MNHN 1908-21,,,,,,,,,,,486,35.8,87.16
Aepyornithiformes,Aepyornis,hildebrandti,MNHN Unnumbered,,,,,,,,,,,312,25.24,65.04
Aepyornithiformes,Aepyornis,hildebrandti,MNHN Unnumbered,,,,,,,,,,,311,23.6,53.78
Aepyornithiformes,Aepyornis,maximus,MNHN 1908-5,,,,,,,,,,,419,31.96,76.9
Aepyornithiformes,Aepyornis,maximus,MNHN MAD 382,,,,,,,,,,,466,36.98,81.76
Aepyornithiformes,Mullerornis,modestus,MNHN MAD 400c,,,,,,,,,,,307,16.56,32
Aepyornithiformes,Mullerornis,modestus,MNHN MAD 459d,,,,,,,,,,,308,17.7,30.82
Aepyornithiformes,Aepyornis,hildebrandti,MNHN Unnumbered,,,,,,,,,,,314,25.1,61.36
Aepyornithiformes,Aepyornis,hildebrandti,NHMW 2014/0238/0025,,,,,,,,,,,301,27.14,59.42
Aepyornithiformes,Aepyornis,hildebrandti,NHMW 2014/0238/0026,,,,,,,,,,,288,24.54,50.5
Aepyornithiformes,Aepyornis,hildebrandti,NHMW 2014/0238/0027,,,,,,,,,,,329,27.14,52.22
Aepyornithiformes,Aepyornis,hildebrandti,NHMW 2014/0238/0029,,,,,,,,,,,291,23.46,50.48
Aepyornithiformes,Aepyornis,hildebrandti,NHMW 2014/0238/0030,,,,,,,,,,,298,25.32,51.54
Aepyornithiformes,Aepyornis,hildebrandti,NHMW 2014/0238/0031,,,,,,,,,,,309,27.7,52.78
Aepyornithiformes,Aepyornis,hildebrandti,NHM A673,,,,,,,,,,,329,27.4,58.02
Aepyornithiformes,Aepyornis,hildebrandti,MNHN Unnumbered,,,,,,,,,,,305,25.44,53.7
Aepyornithiformes,Aepyornis,hildebrandti,MNHN Unnumbered,,,,,,,,,,,302,23.1,51.72
Aepyornithiformes,Aepyornis,hildebrandti,MFN MB.AV.67,,,,,,,,,,,266,21.04,42.98
Aepyornithiformes,Aepyornis,maximus,USNM A605209,,,,,,,,,,,352,34.66,68.18
Aepyornithiformes,Aepyornis,maximus,UA 07AEP03,,,,,,,,,,,454,39,81.6
Aepyornithiformes,Aepyornis,hildebrandti,UA 08AEP01,,,,,,,,,,,270,23.48,44.48
Aepyornithiformes,Mullerornis,modestus,UA 07AEP06,,,,,,,,,,,314,20.3,32.24
Aepyornithiformes,Aepyornis,hildebrandti,UA 07AEP11,,,,,,,,,,,269,22.34,44.4
Aepyornithiformes,Mullerornis,modestus,UA 07AEP08,,,,,,,,,,,312,19.62,29.7
Aepyornithiformes,Aepyornis,hildebrandti,ZIUU A34,,,,,,,,,,,344,27.9,62.98
Aepyornithiformes,Aepyornis,hildebrandti,ZIUU A39,,,,,,,,,,,329,27,58.68
Aepyornithiformes,Aepyornis,hildebrandti,ZIUU A38,,,,,,,,,,,327,26.58,60.88
Aepyornithiformes,Aepyornis,hildebrandti,ZIUU A40,,,,,,,,,,,325,26.88,55.36
Aepyornithiformes,Aepyornis,hildebrandti,ZIUU A33a,,,,,,,,,,,305,26.76,55.34
Aepyornithiformes,Mullerornis,modestus,NHM A676,,,,,,,,,,,271,15,27
Aepyornithiformes,Aepyornis,maximus,MNHN MAD 388,,,,,,,,,,,363,28.96,67.32
Aepyornithiformes,Aepyornis,maximus,MNHN MAD 8813,,,,,,,,,,,536,32.58,88.06
Aepyornithiformes,Aepyornis,hildebrandti,NHMW 2014/0238/0028,,,,,,,,,,,309,23.04,50.6
Aepyornithiformes,Aepyornis,sp.,NHMW 2014/0238/0032,,,,,,,,,,,318,24.88,52.34
Aepyornithiformes,Mullerornis,modestus,UA 07AEP07,,,,,,,,,,,306,19.5,31.98
Aepyornithiformes,Aepyornis,maximus,UA 07AEP05,,,,,,,,,,,361,29.02,68.38
Aepyornithiformes,Aepyornis,maximus,UA Unnumbered,,,,,,,,,,,359,30.7,69.8
Aepyornithiformes,Mullerornis,modestus,USNM 214709,,,,,,,,,,,287,16.88,27.68
Aepyornithiformes,Aepyornis,maximus,USNM 214713,,,,,,,,,,,274,35.14,73.58
Aepyornithiformes,Aepyornis,maximus,ZIUU A47,,,,,,,,,,,400,35.12,79.9
